页号	块号	驻留位	访问字段	修改位
0	23	1	5	1
1	29	1	4	1
2	40	1	3	0
3	2	1	2	1
4	56	1	1	0
5	39	1	0	1
页号	块号	驻留位	访问字段	修改位
0	25	1	6	1
1	10	1	5	1
2	5	1	4	1
3	63	1	3	0
4	13	1	2	0
5	8	1	1	1
6	31	1	0	1
页号	块号	驻留位	访问字段	修改位
0	45	0	0	0
1	47	1	5	1
2	13	1	4	0
3	25	1	3	1
4	24	1	2	0
5	41	1	1	0
6	33	1	0	1
7	3	0	0	0
页号	块号	驻留位	访问字段	修改位
0	37	0	0	0
1	34	1	6	1
2	61	1	5	0
3	14	1	4	0
4	21	1	3	0
5	37	1	2	1
6	23	1	1	0
7	40	1	0	1
8	9	0	0	0
页号	块号	驻留位	访问字段	修改位
0	55	0	0	1
1	28	0	0	1
2	1	0	0	0
3	60	0	0	1
4	29	1	6	0
5	12	1	5	1
6	61	1	4	0
7	62	1	3	1
8	59	1	2	0
9	34	1	1	1
10	31	1	0	0
页号	块号	驻留位	访问字段	修改位
0	4	0	0	0
1	38	0	0	0
2	52	0	0	0
3	31	1	6	1
4	62	1	5	0
5	62	1	4	0
6	7	1	3	0
7	41	1	2	0
8	23	1	1	1
9	10	1	0	0
页号	块号	驻留位	访问字段	修改位
0	62	0	0	1
1	29	0	0	1
2	16	1	6	0
3	17	1	5	0
4	26	1	4	1
5	40	1	3	0
6	48	1	2	0
7	13	1	1	1
8	28	1	0	0
页号	块号	驻留位	访问字段	修改位
0	2	0	0	0
1	57	0	0	1
2	8	1	6	1
3	17	1	5	0
4	13	1	4	0
5	55	1	3	1
6	27	1	2	0
7	18	1	1	1
8	36	1	0	1
页号	块号	驻留位	访问字段	修改位
0	47	0	0	1
1	30	1	6	1
2	36	1	5	0
3	45	1	4	0
4	63	1	3	0
5	51	1	2	0
6	30	1	1	1
7	54	1	0	1
页号	块号	驻留位	访问字段	修改位
0	50	1	4	0
1	14	1	3	1
2	48	1	2	1
3	12	1	1	1
4	43	1	0	0
